Number of Stacks,R Size,R Layers,A Hat Size,A Hat Layers,Dev Loss,Dev Perplexity
4,64,1,64,1,0.006351472344249487,17.328203201293945
4,64,10,64,1,0.0063543133437633514,11.687472343444824
4,512,1,64,1,0.006350362673401833,47.006103515625
4,64,1,64,10,0.006350329145789146,inf
4,64,1,512,1,0.0063503338024020195,51.764896392822266
16,64,1,64,1,0.0064026964828372,12.074634552001953
